재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_ShareOfRetainedEarningsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	            지분법 이익잉여금 변동		25,045,209			-48,565,008	373,752,172
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	            세후기타포괄손익, 기타포괄손익-공정가치로 측정되는 금융자산		-663,161,078			-162,747,172	-514,566,791
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의 재측정손익(세후기타포괄손익)		-11,481,976,860			-33,000,040,832	24,660,479,659
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		-16,585,694,879			130,395,492,971	-124,858,459,734
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분에 귀속되는 당기순이익(손실)		12,543,601,843			95,952,566,828	-61,129,019,006
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속되는 당기순이익(손실)		-29,129,296,722			34,442,926,143	-63,729,440,728
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		-20,493,254,211			198,096,177,419	-120,183,179,682
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		4,488,280,532,801			4,479,660,141,625	3,787,959,855,335
단일 포괄손익계산서, 기능별 분류, 세후 - 연결	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      관계기업에 대한 지분법손익		-920,134,609			9,362,649,930	39,176,850,856
단일 포괄손익계산서, 기능별 분류, 세전 - 연결	[054620]	APS	코스닥시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		-22,637,555,084			-18,603,977,383	-15,269,627,833
단일 포괄손익계산서, 기능별 분류, 세전 - 연결	[054620]	APS	코스닥시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		60,915,333,249			18,781,256,936	8,704,952,851
단일 포괄손익계산서, 기능별 분류, 세전 - 연결	[054620]	APS	코스닥시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		28,475,132,550			6,395,953,142	9,780,969,173
